
 eval_cls__precision: 0.9777777776691359, eval_cls_0_recall: 0.9887640448327232, eval_cls_0_f1: 0.983240223353828,
 eval_cls__precision: 0.9662921347228886, eval_cls_1_recall: 0.9662921347228886, eval_cls_1_f1: 0.9662921347228886,
 eval_cls__precision: 0.9999999998863637, eval_cls_2_recall: 0.9887640448327232, eval_cls_2_f1: 0.9943502823735199,
 eval_cls__precision: 0.9999999998734178, eval_cls_3_recall: 0.9186046510559762, eval_cls_3_f1: 0.9575757574596878,
 eval_cls__precision: 0.9887640448327232, eval_cls_4_recall: 0.9072164947518334, eval_cls_4_f1: 0.946236559038039,
 eval_cls__precision: 0.9555555554493828, eval_cls_5_recall: 0.8958333332400175, eval_cls_5_f1: 0.9247311826962655,
 eval_cls__precision: 0.92499999976875, eval_cls_6_recall: 0.92499999976875, eval_cls_6_f1: 0.92499999976875,
 eval_cls__precision: 0.9999999996153845, eval_cls_7_recall: 0.7878787876400367, eval_cls_7_f1: 0.881355931904625,
 eval_cls__precision: 0.9374999998046875, eval_cls_8_recall: 0.8823529410034602, eval_cls_8_f1: 0.9090909089072543,
 eval_cls__precision: 0.49999999916666665, eval_cls_9_recall: 0.9999999966666667, eval_cls_9_f1: 0.6666666651851851,
 eval_cls__precision: 0.982758620520214, eval_cls_10_recall: 0.982758620520214, eval_cls_10_f1: 0.982758620520214,
 eval_cls__precision: 0.9999999995238095, eval_cls_11_recall: 0.8076923073816568, eval_cls_11_f1: 0.8936170208963331,
 eval_cls__precision: 0.8494623655000578, eval_cls_12_recall: 0.8229166665809462, eval_cls_12_f1: 0.8359788358903727,
 eval_cls__precision: 0.7763157893715374, eval_cls_13_recall: 0.8082191779714769, eval_cls_13_f1: 0.7919463086185309,
 eval_cls__precision: 0.9807692305806213, eval_cls_14_recall: 0.9622641507618369, eval_cls_14_f1: 0.9714285712435373,
 eval_cls__precision: 0.9999999996774194, eval_cls_15_recall: 0.9999999996774194, eval_cls_15_f1: 0.9999999996774194,
 eval_cls__precision: 0.6666666662962962, eval_cls_16_recall: 0.9999999991666666, eval_cls_16_f1: 0.7999999994666667,
 eval_cls__precision: 0.999999999090909, eval_cls_17_recall: 0.999999999090909, eval_cls_17_f1: 0.999999999090909,
 eval_cls__precision: 0.9999999991666666, eval_cls_18_recall: 0.9230769223668639, eval_cls_18_f1: 0.9599999992320001,
 eval_cls__precision: 0.9999999995833333, eval_cls_19_recall: 0.9230769227218935, eval_cls_19_f1: 0.9599999996159999,
 eval_cls__precision: 0.5056179774712789, eval_cls_20_recall: 0.8333333331790124, eval_cls_20_f1: 0.6293706292826055,
 eval_acc: 0.9097345132743363, epoch: 1.612


 eval_cls__precision: 0.9666666665592594, eval_cls_0_recall: 0.9999999998850575, eval_cls_0_f1: 0.9830508473465479,
 eval_cls__precision: 0.9887640448327232, eval_cls_1_recall: 0.9887640448327232, eval_cls_1_f1: 0.9887640448327232,
 eval_cls__precision: 0.9999999998863637, eval_cls_2_recall: 0.9887640448327232, eval_cls_2_f1: 0.9943502823735199,
 eval_cls__precision: 0.9873417720269189, eval_cls_3_recall: 0.9873417720269189, eval_cls_3_f1: 0.9873417720269189,
